Cell Ontology ID, Cell Ontology Label, Cytokine Ontology Label, Actor, Action Sentiment, NumPapers, Enrichment Score
CL_0000545,T-helper 1 cell,IFNG,cell,Positive,88,5.01
CL_0000546,T-helper 2 cell,IL4,cell,Positive,59,15.88
CL_0000545,T-helper 1 cell,IL12,cytokine,Positive,56,11.77
CL_0000899,T-helper 17 cell,IL17,cell,Positive,53,55.2
CL_0000546,T-helper 2 cell,IL4,cytokine,Positive,31,5.47
CL_0000545,T-helper 1 cell,IFNG,cytokine,Positive,18,0.68
CL_0000899,T-helper 17 cell,IL17A,cell,Positive,18,54.04
CL_0000545,T-helper 1 cell,IL10,cell,Positive,16,2.35
CL_0000545,T-helper 1 cell,IL10,cytokine,Positive,13,1.29
CL_0000901,Tr1 cell,IL10,cell,Positive,13,33.83
CL_0000545,T-helper 1 cell,IL2,cell,Positive,12,0.96
CL_0000546,T-helper 2 cell,IFNG,cell,Positive,12,0.99
CL_0000545,T-helper 1 cell,IL10,cytokine,Negative,12,9.53
CL_0000546,T-helper 2 cell,IL33,cytokine,Positive,11,13.53
CL_0000546,T-helper 2 cell,IL10,cell,Positive,11,2.39
CL_0000545,T-helper 1 cell,IL17,cell,Positive,11,5.12
CL_0002061,T-helper 9 cell,IL9,cell,Positive,10,1161.35
CL_0001042,T-helper 22 cell,IL22,cell,Positive,9,570.26
CL_0000546,T-helper 2 cell,IL10,cytokine,Positive,9,1.47
CL_0000899,T-helper 17 cell,IL27,cytokine,Negative,9,233.6
CL_0000901,Tr1 cell,IL10,cytokine,Positive,8,14.11
CL_0000546,T-helper 2 cell,IL33,cell,Positive,8,14.52
CL_0000546,T-helper 2 cell,IL5,cell,Positive,8,7.2
CL_0000546,T-helper 2 cell,IFNG,cytokine,Negative,7,3.11
CL_0000545,T-helper 1 cell,IL4,cell,Positive,7,1.23
CL_0000899,T-helper 17 cell,IL6,cytokine,Positive,7,1.49
CL_0000546,T-helper 2 cell,IL13,cell,Positive,7,11.76
CL_0000545,T-helper 1 cell,IL4,cytokine,Positive,7,0.84
CL_0000545,T-helper 1 cell,IL18,cytokine,Positive,7,4.63
CL_0000545,T-helper 1 cell,IL12,cytokine,Negative,6,13.18
CL_0000545,T-helper 1 cell,IL27,cytokine,Positive,6,9.06
CL_0000546,T-helper 2 cell,IL4,cytokine,Negative,6,8.44
CL_0000899,T-helper 17 cell,IL22,cell,Positive,6,28.1
CL_0000546,T-helper 2 cell,IL12,cytokine,Negative,6,14.59
CL_0000899,T-helper 17 cell,CCL20,cell,Positive,6,55.28
CL_0000899,T-helper 17 cell,IL17,cytokine,Positive,6,4.08
CL_0000545,T-helper 1 cell,IL4,cytokine,Negative,5,4.76
CL_0000546,T-helper 2 cell,IFNG,cytokine,Positive,5,0.33
CL_0000545,T-helper 1 cell,IL12B,cytokine,Positive,5,22.07
CL_0000545,T-helper 1 cell,IL2,cytokine,Positive,5,0.27
CL_0000899,T-helper 17 cell,IL10,cell,Positive,5,1.58
CL_0000546,T-helper 2 cell,IL25,cytokine,Positive,5,30.31
CL_0000899,T-helper 17 cell,IFNG,cell,Positive,5,0.6
CL_0000545,T-helper 1 cell,TGFB,cell,Positive,5,0.81
CL_0002038,T follicular helper cell,IL21,cell,Positive,5,202.47
CL_0000546,T-helper 2 cell,IL10,cytokine,Negative,5,5.86
CL_0000545,T-helper 1 cell,IFNA,cytokine,Positive,4,1.07
CL_0000899,T-helper 17 cell,IL1B,cytokine,Positive,4,1.64
CL_0000899,T-helper 17 cell,TGFB,cytokine,Positive,4,0.94
CL_0000545,T-helper 1 cell,IFNG,cytokine,Negative,4,1.2
CL_0000546,T-helper 2 cell,IL18,cytokine,Positive,4,3.91
CL_0001042,T-helper 22 cell,IL22,cytokine,Positive,4,171.75
CL_0000546,T-helper 2 cell,IL6,cell,Positive,4,0.86
CL_0000899,T-helper 17 cell,IL23,cytokine,Positive,4,17.92
CL_0000899,T-helper 17 cell,IL10,cytokine,Negative,3,5.14
CL_0000545,T-helper 1 cell,IL22,cell,Positive,3,6.52
CL_0000545,T-helper 1 cell,IL15,cytokine,Positive,3,1.45
CL_0000545,T-helper 1 cell,CSF2,cytokine,Positive,3,0.52
CL_0000545,T-helper 1 cell,IFN1,cytokine,Positive,3,3.63
CL_0000545,T-helper 1 cell,IL6,cell,Positive,3,0.44
CL_0000546,T-helper 2 cell,TGFB,cytokine,Positive,3,0.48
CL_0000899,T-helper 17 cell,IL35,cytokine,Negative,3,325.38
CL_0000545,T-helper 1 cell,IL17,cytokine,Negative,3,7.54
CL_0000545,T-helper 1 cell,IL21,cytokine,Positive,3,1.99
CL_0000899,T-helper 17 cell,IL17F,cell,Positive,3,105.37
CL_0000492,CD4-positive helper T cell,IFNG,cell,Positive,3,8.28
CL_0000899,T-helper 17 cell,TGFB,cytokine,Negative,3,5.64
CL_0000899,T-helper 17 cell,IFNB1,cytokine,Negative,3,38.28
CL_0000545,T-helper 1 cell,IFNB1,cytokine,Positive,3,2.23
CL_0000546,T-helper 2 cell,CCL2,cytokine,Positive,3,1.15
CL_0000545,T-helper 1 cell,IL27,cytokine,Negative,3,36.11
